yyyy/mm/dd,SESIA_1,TANARO_1,TICINO_1,SCRIVIA_1,TIDONE_1,LAMBRO_1,NURE_1,ENZA_1,OGLIO_1,SECCHIA_1,DORA BALTEA_1,MALONE_1,MINICIO_1,TREBBIA_1,PARMA_1,PANARO_1,TARO_1,STURA DI LANZO_1,PO_1,PO_2,PO_3a,PO_3b,PO_4,PO_5,PO_6,PO_7,PO_8,PO_9,PO_10,PO_11,PO_12,PO_13,PO_14a,PO_14b,PO_15,PO_16,PO_17,PO_18a,PO_18b,PO_18c,PO_19a,PO_21,PO_22,PO_23,PO_24,PO_25,PO_26b,PO_27,PO_28,PO_29,PO_30a,PO_30b,PO_31,PO_32,PO_33,PO_34,PO_35,ORCO_1,ARDA_1,ADDA_1,PO_26a,PO_20b,PO_20a,PO_19b
01/11/2019,28.64,69.58,106.86,7.37,1.07,11.89,4.16,5.5,50.4,15,32.01,2.47,19.5,7.68,4.86,19.23,3.42,9.23,67.92,68.29,69.53,82.27,82.27,85.09,118.33,119.5,121.96,126.63,127.35,158.2,162.79,233.51,235.68,248.08,257.84,370.22,381.53,384.7,386.76,401.8,413.7,491.07,498.52,504.58,515.17,532.12,555.44,560.68,617.74,627.46,650.68,668.24,672.16,678.34,702.69,706.83,709.47,9.01,3.06,56.8,539.87,485.71,425.37,423.54
01/12/2019,27.7,68.1,105.77,7.1,1.07,12.03,4.06,5.32,50.04,15.1,30.43,2.42,19.07,7.29,4.74,19.2,3.43,8.76,64.94,65.28,66.49,78.66,78.66,81.41,113.02,114.14,116.5,120.59,121.17,150.87,155.47,224.89,227.52,239.84,250.23,360.74,370,371.89,373.55,387.97,399.23,474.11,479.81,483.8,492.96,508.76,533.21,538.85,596.54,607.13,630.25,648.05,652.12,658.57,684.44,691.94,700.23,8.55,3.05,55.94,516.29,470.11,411.22,409.38
13/01/2019,27.67,66.15,105.28,7.13,1.17,12.67,4.24,5.44,50.7,15.09,29.04,2.7,18.93,7.06,4.9,19.05,3.72,8.88,63.63,63.7,64.8,76.76,76.76,78.91,108.73,109.63,112.22,115.89,116.26,146.01,149.85,217.03,219.38,231.97,241.43,351.38,360.69,362.89,364.71,380.08,390.6,459.64,464.79,468.95,478.7,493.57,513.83,518.68,574.21,584.01,607.27,625.3,629.8,637.13,663.64,671.69,680.55,8.38,3.1,55.24,500.48,456.52,399.9,398.91
14/01/2019,31.25,66.69,107.62,8.19,1.18,15.76,4.25,5.73,52.94,16.81,28.75,2.39,20.15,7.47,4.88,21.36,4.86,8.94,67.16,67.6,68.78,80.55,80.55,82.8,111.94,112.26,113.28,114.41,114.48,146.95,150.41,217.89,219.04,233.52,242.27,351.24,360.01,360.27,361.41,377.67,385.99,455.08,460.07,462.16,472.04,486.31,503.21,507.9,564.19,570.8,593.08,611.33,613.09,616.19,642.48,650.04,658.19,8.17,3.96,57.95,492.09,452.75,393.37,392.48
15/01/2019,24.59,64.42,100.99,6.19,0.86,11.57,3.46,4.89,50.33,14.86,26.11,1.98,17.5,6.89,4.21,20.89,2.56,6.61,54.92,55.67,57.34,68.21,68.21,72.62,101.42,103.69,107.23,113.92,114.73,141.04,145.07,210.5,212.8,223.44,234.33,341.57,352.4,355.4,357.12,371.47,382.83,447.92,451.29,453.57,460.07,474.5,492.84,496.48,551.48,558.89,578.87,595.58,598.62,603.89,630.6,637.24,641.95,7.17,2.42,53.77,480.87,446.24,391.63,390.74
16/01/2019,22.41,60.92,99.78,5.36,1.02,9,3.57,4.26,44.6,13.3,25.57,2.38,17.16,5.55,4.21,16.04,2.51,7.23,51.55,51.49,52.46,62.7,62.7,64.84,91.32,92.33,95.03,100.04,101.17,126.87,133.5,196.77,200.88,210.77,221.19,326.48,334.76,337.72,339.81,352.74,363.95,435.74,441.61,446.15,453.02,465.3,478.75,482.37,531.28,540.83,562.02,577.96,582.01,588.18,609.81,616.72,625.71,7.16,2.48,50.15,470.48,430.92,377.32,375.23
17/01/2019,29.8,58.8,105.36,7.51,1.32,14.68,4.32,5.22,48.96,14.29,26.02,2.64,19.87,6.21,4.76,17.41,5.18,8.67,61.53,61.5,62.16,72.84,72.84,73.12,98.1,97.65,98.23,98.11,97.81,128.59,130.53,189.48,190.32,204.38,213.32,322.21,332.16,332.63,333.96,349.5,356.43,421.21,426.83,430.61,442.85,456.26,474.7,479.61,530.16,532.28,552,566.48,566.79,569.4,591.71,598.36,605.95,7.59,4.12,54,462.61,418.58,363.22,362.48
18/01/2019,26.5,59.62,100.22,7.45,1.01,13.87,3.87,5.31,51.7,14.57,24.15,2.24,18.02,7.39,4.27,21.78,3.44,7.2,55.6,56.11,57.57,68.36,68.36,72.15,98.28,99.85,102.53,105.44,105.33,132.26,133.33,193.27,194.06,206.3,214.22,317.21,326.15,328.06,329.64,345.77,357.06,419.61,422.64,423.89,430.56,443.41,460.96,465.4,522.62,529.86,549.8,565.69,567.23,568.79,590.85,592.88,593.54,7.12,2.95,53.13,448.85,418.64,365.36,364.67
19/01/2019,24.81,60.44,98.73,7.26,1.02,11.28,3.82,4.89,47.15,14.48,24.47,2.16,17.95,8.07,4.16,17.9,3.28,7.02,53.15,53.45,54.48,64.42,64.42,66.74,92.09,92.79,94.47,98.22,99.03,126.22,131.95,193.81,196.12,208.17,215.99,315.52,321.46,322.03,323.25,335.92,346.61,412.43,417.84,421.34,429.07,442.58,453.7,456.74,505.17,512.1,533.47,550.6,554.31,559.66,582.18,587.88,592.71,6.73,2.95,51.17,447.29,408.97,355.6,354.4
20/01/2019,21.71,55.85,95.34,6.58,0.87,9.89,3.55,5.11,43.74,12.52,23.13,2.17,16.8,7.99,3.91,16.39,2.26,6.55,47.62,48.05,49.44,59.4,59.4,62.46,87.05,88.44,91.1,94.58,94.89,117.97,121.63,178.74,181.82,192.7,204.04,307.11,317.9,320.82,322.39,334.39,344.04,399.92,404.19,407.73,414.1,428.86,448.04,451.92,499.68,503.49,521.06,534.7,536.74,541.24,563.88,571.45,579.57,6.59,2.17,47.75,434.89,397.26,348.93,348.72
21/01/2019,24.57,54.31,97.58,7.18,1.13,10.11,3.9,5.33,43.18,13.11,22.32,2.28,17.68,8.1,4.27,14.82,3.42,7.36,51.68,51.56,52.12,61.63,61.63,62.5,84.53,84.6,85.86,89.3,89.91,116.4,119.66,174.65,175.82,187.41,194.37,294.37,302.71,304.63,306.46,319.47,332.36,398.12,401.78,402.73,408.69,421.48,435.23,439.39,485.83,493.21,513.9,528.86,530.92,533.47,550.02,553.57,559.6,6.7,3.13,48.41,425.91,395.77,344.8,342.92
22/01/2019,24.25,53.11,95.82,7.55,1.01,11.78,3.84,5.86,45.22,13.32,21.63,2.31,17.14,8.79,4.33,16.55,3.09,7.08,50.44,50.73,52,62.03,62.03,64.63,87.34,88.28,90.28,90.49,90.03,114.7,116.18,170.07,172.13,184.54,193.66,293.17,300.56,301.59,302.81,315.84,325.95,384.96,390.23,394.94,403.62,419.19,434.35,437.16,482.18,483.96,502.08,516.62,518.65,522.71,544.14,549.02,552.28,6.67,2.65,48.01,425.2,381.78,332.64,332.01
23/01/2019,26.3,55.25,96.81,8.08,1,12.25,3.73,5.74,45.38,14.92,21.49,2.02,17.56,8.79,4.33,17.15,3.76,7.11,52.96,53.22,54.14,63.43,63.43,65.01,86.66,86.89,87.95,90.45,90.98,118.92,121.71,177.16,177,189.54,194.27,290.28,298.15,299.01,300.19,313.51,323.95,382.82,386.07,386.83,393.83,408.29,425.72,430.3,480.35,486.58,504.77,519.93,519.17,517.45,534.3,538.01,542.82,6.46,3.33,49.6,413.74,381.59,330.94,330.1
24/01/2019,25.33,55.3,95.5,7.54,1.17,12.14,4.03,5.85,46.89,15.12,21.79,2.55,17.14,8.22,4.73,17.49,3.82,7.59,51.73,51.65,52.37,62.21,62.21,64.13,86.96,88.03,90.51,92.61,92.41,118.52,118.96,174.56,175.99,188.68,197.37,296.8,301.89,301.14,302.07,314.74,323.91,379.26,382.65,384.87,392.99,407.38,419.78,423.38,471.38,475.74,494.72,511.47,513.82,518.02,538.59,541,540.12,6.61,3.12,47.89,412.39,378.41,330.44,329.93
25/01/2019,24.31,55.05,93.47,7.5,0.97,12.6,3.79,5.84,45.4,15.39,21.35,2.2,16.73,8.97,4.28,18.15,3.1,6.8,49.95,50.56,52.13,62.33,62.33,65.41,87.5,87.96,89.31,90.47,90.44,115.99,121.46,177.85,179.71,191.75,199.36,293.13,300.82,302.53,303.93,318.27,329.3,380.19,383.43,385.02,390.85,404.68,418.05,421.58,469.18,472.57,489.64,505.81,507.04,509.16,529.4,533.85,539.09,6.48,2.62,47.44,409.12,378.96,332.88,333.41
26/01/2019,23.76,54.41,93.05,6.71,1.04,10.91,3.75,5.35,44.22,14.71,20.58,2.3,16.51,7.83,4.44,16.56,3.23,6.97,49.3,49.37,50.2,59.59,59.59,61.35,82.5,83.25,85.39,90.07,90.79,116.39,118.29,172.99,173.86,184.81,192.09,289.73,299.02,300.5,301.79,313.78,322.46,381.22,385.11,386.48,391.7,404.24,416.03,419.43,464.48,467.9,485.55,501.25,502.42,504.44,523.04,526.73,530.56,6.33,2.81,46.41,408.41,378.36,329.89,328.75
27/01/2019,24.69,54.28,93.74,7.12,1.04,12.14,3.77,5.6,44.11,14.89,20.76,2.28,16.89,8.01,4.51,16.8,3.54,7.06,50.24,50.41,51.41,60.93,60.93,63.02,84.38,84.99,86.62,87.52,87.42,113.05,115.57,170.89,172.97,185.15,194.22,289.78,295.63,295.66,296.67,309.72,319.63,376.35,379.43,380.9,388.18,402.77,418.38,421.7,465.17,465.97,483.22,498.78,499.51,500.68,518.76,521.8,524.52,6.34,2.99,46.01,408.62,375.01,328.12,327.16
28/01/2019,24.93,54.95,94.02,7.16,1.03,12.44,3.74,5.66,45.36,15.58,19.97,2.25,16.95,7.83,4.55,17.82,3.64,6.97,50.59,50.82,51.81,61.24,61.24,63.32,83.98,84.69,86.55,88.57,88.76,114.97,117.25,172.58,173.3,185.05,191.92,287.7,295.59,296.89,298.29,312.34,321.7,372.96,376.35,378.4,386.2,400.74,413.89,417.36,464.26,469.03,486.83,503.2,503.32,501.59,518.26,520.69,522.14,6.21,3.06,46.14,406.03,372.09,326.3,326.24
29/01/2019,23.77,54.96,93.05,6.7,0.99,11.64,3.62,6.29,45.02,15.73,19.56,2.18,16.79,7.54,4.58,17.87,3.28,6.65,48.68,48.98,50.08,59.35,59.35,61.82,82.39,83.3,85.36,87.91,88.1,113.07,115.94,171.62,173.09,184.23,192.25,288.12,295.09,295.5,296.54,309.08,318.26,373.53,377.15,378.63,384.55,398.2,410.71,414.4,461.78,466.3,483.5,500.05,501.14,503.11,523.3,525.96,524.97,5.99,2.83,45.08,402.7,371.52,325.29,324.49
30/01/2019,23.59,54.55,93.1,6.71,1.04,11.55,3.73,7.07,44.81,17.76,19.34,2.24,16.97,7.48,5.22,17.77,3.49,6.73,48.43,48.54,49.43,58.55,58.55,60.63,80.65,81.34,83.21,85.69,86,111.08,114.02,169.45,171.07,182.33,190.47,286.18,293.48,294.05,295.25,308.27,317.59,369.67,372.99,374.82,382.13,398,413.35,417.42,462.03,463.49,481.54,500.03,501.01,501.85,520.54,522.79,524.79,5.96,2.93,44.42,404.23,368.55,324.13,323.52
31/01/2019,23.31,54.16,92.03,6.86,0.99,11.8,3.94,8.67,49.04,22.34,19.15,2.19,17.48,8.05,6.46,20.65,3.45,6.5,47.82,48.11,49.2,58.4,58.4,60.7,80.67,81.49,83.36,84.86,84.91,109.32,112.1,166.98,168.53,179.94,188.73,284.25,293.19,294.2,295.45,308.79,318.23,369.91,373.28,374.88,381.42,398.48,419.97,425.77,476.64,478.07,495.34,517.33,515.94,512.58,529.22,529.5,528.84,5.9,2.85,44.24,406.55,368.51,324.29,323.6
02/01/2019,23.18,54.37,92.04,6.79,1.04,11.56,5.03,10.26,54.7,27.78,18.93,2.33,18.87,8.4,8.43,23.11,3.76,6.61,47.78,47.95,48.85,58.08,58.08,59.98,79.81,80.97,83.43,85.54,85.58,109.79,112.57,167.76,168.67,180.09,190.06,285.51,294.4,295.13,296.14,308.52,317.42,373.49,376.21,376.6,382.86,403.29,430.28,437.98,495.11,497,516.04,543.72,542.58,539.02,556.17,555.41,551.83,5.94,2.92,45.56,413.86,371.96,326.57,324.76
02/02/2019,24.33,57.81,95.7,8.65,1.35,14.39,23.87,44.18,85.63,34.03,19.42,2.59,22.69,19.11,44.84,27.72,12.22,6.98,48.7,48.83,49.86,59.82,59.82,61.68,81.96,83.25,85.77,87.58,87.39,112.39,114.75,173.78,174.61,188.42,200.16,299.76,309.88,312.2,313.48,328.46,344.57,402.21,421.1,413.16,417.42,462.62,493.9,496.51,559.93,539.69,556.15,587.31,582.08,575.09,594.29,592.19,587.06,6.35,23.69,51.31,494.04,406.39,362.9,362.18
02/03/2019,28.61,65.7,103.09,20.96,2.61,26.19,47.61,94.68,179,161.66,23,3.96,31.28,53.32,94.38,93.77,34.56,10.23,54.82,55.04,56.34,69.94,69.94,71.36,94.53,95.66,97.61,97.19,96.23,123.88,124.49,191.43,191.64,219.07,231.87,333.53,341.22,342.35,344.15,368.99,415.07,498.46,531.51,520.53,540.16,690.68,811.03,820.51,926.12,798.98,771.19,898.71,833.76,743.21,748.26,684.94,640.43,8.48,47.98,73.91,770.72,513.61,453.53,453.71
02/04/2019,36.47,73.78,113.8,27.68,4.16,50.73,46.28,85.9,259.88,172.17,25.37,4.75,41.39,59.07,83.53,158.23,39.94,11.11,60.41,60.77,62.27,77.62,77.62,80.24,106.7,108.56,111.8,115.18,114.51,150.01,149.21,223.17,221.25,256.21,273.34,387.33,401.8,403.07,405.82,452.74,498.43,618.86,649.14,645.97,676.73,829.93,979.86,1008.11,1251.95,1226.26,1237.98,1389.76,1353.44,1273.37,1316.32,1208.63,1043.12,8.94,40.57,107.78,907.41,627.37,529.8,530.44
02/05/2019,39.14,82.43,117.48,28.28,4.77,55.59,41.19,75.79,259.01,155.08,26.19,5.28,49.4,56.55,73.01,145.61,37.62,11.65,64.38,65,66.84,83.45,83.45,86.76,114.19,116.03,119.84,125.19,125.08,164.2,167.32,251.56,251.7,288.45,313.93,434.29,450.67,452.09,456.02,509.99,560.4,703.93,730.49,731.17,762.8,906.96,1057.4,1090.79,1349.35,1358.86,1402.17,1553.06,1546.32,1531.23,1651.4,1632.04,1576.73,9.16,32.14,107.26,978.34,705.15,601.65,599.73
02/06/2019,42.53,92.71,119.67,29.72,4.9,55.82,35.85,65.74,237.73,139.74,26.56,5.58,58.49,53.44,62.67,133.68,32.9,12.22,67.86,68.41,70.07,87.27,87.27,90.5,118.5,120.37,124.73,131.82,132.24,175.73,179.66,274.42,274.64,313.5,339.73,463.6,483.2,485.97,491.01,547.98,600.39,740.36,764.08,768.83,803.21,937.32,1089.97,1122.71,1365.82,1388.38,1448.1,1588.72,1590.97,1592.17,1724.22,1729.64,1722.19,9.45,25.87,101.41,1003.9,739.21,639.79,637.79
02/07/2019,44.94,99.83,119.19,30.03,5.14,51.5,31.58,56.88,212.68,124.66,26.56,5.67,65.27,49.14,54.32,120.2,28.38,12.7,70.85,71.37,72.85,90.52,90.52,93.9,122.17,124.24,129.34,137,137.13,183.17,187.51,289.63,290.39,329.94,357.71,483.63,504.71,507.55,513.1,566.31,615.96,753.6,776.5,784.76,818.37,939.05,1076.19,1105.9,1328.31,1361.25,1435.23,1565.81,1576,1588.43,1716.89,1732.1,1739.68,9.85,21.51,95.28,997.98,749.56,653.96,651.56
02/08/2019,44.56,104.67,116.06,29.43,5.29,44.53,27.55,49.34,186,109.66,25.94,5.41,68.47,44.3,46.74,106.42,23.14,12.31,73.1,73.75,75.18,92.55,92.55,95.79,123.53,125.79,131.49,139.64,139.75,185.77,191.92,299.25,300.86,339.69,367.12,490.38,511.91,515.39,521.51,568.99,616.73,750.98,771.66,780.17,809.85,917.67,1044.44,1071.33,1271.55,1308.24,1386.91,1503.42,1515.61,1531.9,1653.68,1676.7,1698.08,9.94,17.74,88.58,969.87,745.78,655.05,651.95
02/09/2019,43.54,108.98,113.29,29.77,5.58,39.3,24.9,44.4,166.15,96.72,25.41,5.35,69.56,40.06,41.73,93.41,21.88,12.03,75.49,75.93,77.09,94.03,94.03,97.02,124.01,126.05,132.15,140.95,141.05,186.11,191.2,302.77,304.49,342.97,369.05,489.75,509.35,512.93,519.6,562.72,606.03,733.09,752.75,762.85,792.65,889.77,1004.37,1029.22,1208.94,1241.12,1320.48,1424.2,1436.59,1455.14,1569.61,1595.37,1620.37,10,15.72,82.04,936.84,726.87,641.91,638.79
02/10/2019,45.62,118.28,113.81,35.33,5.79,39.07,23.22,42.69,152.68,91.52,25.39,5.06,69.95,39.4,38.44,89.43,20.98,11.8,82.94,83.36,84.35,100.51,100.51,103.17,129.92,131.52,136.73,143.05,142.88,190.08,194.78,315.08,315.7,359.83,383.37,501.67,517.35,517.74,523.55,563.79,604.61,719,735.86,744.02,772.48,864.57,971.53,994.02,1158.91,1187.27,1265.47,1362.68,1371.69,1385.14,1489.42,1510.65,1530.93,9.75,14.36,79.25,908.03,714.53,633.9,632.03
02/11/2019,40.3,128.13,109.06,35.61,5.53,31.45,21.16,39.26,135.05,82.83,24.36,4.55,66.92,39.18,35.15,80.96,16.38,10.4,81.81,82.61,84,99.59,99.59,103.19,129.61,131.8,137.66,146.31,146.46,188.33,194.19,324.52,326.29,369.83,394.94,509.02,525.29,527.43,533.54,566.74,607.71,713.15,726.38,732.04,754.13,845.57,936.93,956.12,1102.1,1129.64,1205.93,1295.3,1306.25,1322.2,1420.02,1441.15,1461.4,9.27,11.89,74.84,882.91,710.52,634.87,633.2
02/12/2019,35.55,133.14,105.22,38.4,5.44,26.5,19.62,37.87,123.83,78.41,23.48,4.38,63.98,40.58,33.96,71.16,14.21,9.84,79.78,80.29,81.5,96.19,96.19,99.39,124.46,126.23,131.75,140.82,141.4,179.35,185.93,321.8,324.6,370.09,396.14,506.89,520.45,522.95,529.25,558.71,602.56,710.61,721.99,726.28,744.34,839.53,922.85,939.23,1068.52,1084.84,1152.97,1234.88,1241.12,1253.09,1340.74,1361.63,1385.47,8.85,10.31,75.98,874.72,707.66,629.82,627.81
13/02/2019,35.87,141.5,105.3,44.19,5.1,26.65,18.37,37.07,117.03,80.02,23.65,3.99,61.79,43.96,31.93,69.51,13.11,9.38,84,84.55,85.69,99.5,99.5,101.88,126.48,127.68,131.92,137.08,137.22,175.11,180.73,324.26,326.18,377.68,401.87,510.66,522.84,523.28,528.51,556.3,602.23,705.21,716.27,721.08,739.21,837.4,921.05,935.16,1056.02,1068.23,1132.24,1214.46,1217.88,1222.95,1298.49,1309.13,1318.6,8.58,9.47,76.8,871.96,702.34,624.8,623.72
14/02/2019,33.27,148.47,102.89,44.72,4.85,23.29,17.14,33.07,109,74.25,22.77,3.7,58.57,42.68,28.33,65.13,11.99,8.76,82.6,83.07,84.28,97.47,97.47,100.43,124.62,126.23,130.99,138.12,138.45,173.65,177.81,327.79,329,380.3,402.58,510.2,522.39,524.13,529.57,555.08,600.2,700.32,710.44,714.97,732.07,824.1,899.25,912.71,1029.83,1047.82,1111.93,1190.21,1196.88,1204.7,1276.31,1286.23,1293.68,8.16,8.91,74.13,854.45,697.78,622.58,621.18
15/02/2019,31.96,149.64,101.8,45.67,4.53,21.77,16.32,29.92,100.85,67.84,22.79,3.36,55.63,42.47,25.22,60.56,10.71,8.39,81.26,81.7,82.91,95.44,95.44,98.41,122.55,123.93,128.02,133.77,134.15,168.31,173.77,325.48,328.33,381.12,404.01,511.5,522.91,523.84,528.55,551.35,595.53,692.95,703.34,708.15,724.1,811.26,879.93,891.48,999.52,1015.51,1075.89,1147.48,1154.14,1164.55,1236.62,1251.3,1265.59,7.88,8.37,71.63,838.92,689.7,616.77,615.5
16/02/2019,29.88,144.06,100.31,45.23,4.2,19.52,15.71,26.49,93.77,61.33,23.05,3.12,52.53,41.9,22.7,55.93,9.37,8.04,79.28,79.6,80.74,92.93,92.93,95.62,119.8,121.08,124.95,130.73,131.09,163.01,167.96,313.9,316.97,368.95,392.03,499.9,513.45,516.76,522.03,544.86,590.78,685.87,695.31,698.8,712.91,794.82,857.2,867.86,969.52,985.32,1043.05,1108.19,1114.65,1124.22,1190.86,1204.37,1218.33,7.88,8.28,68.92,819.69,683.43,613.27,611.79
17/02/2019,29.37,138.65,100.11,44.17,3.85,18.53,15.45,24.32,88.55,56.59,23.53,2.96,49.9,41.97,21.24,53.07,8.8,8.03,79.39,79.54,80.58,92.7,92.7,95.01,119.36,120.3,123.67,127.91,128.08,159.28,163.53,303.9,306.59,357.28,378.85,486.35,498.96,501.96,506.78,528.53,574.9,673.66,686.22,691.6,706.17,784.67,840.89,849.72,943.1,955.23,1009.4,1069.37,1075.27,1084.74,1148.26,1161.31,1174.82,8.18,9.57,67.5,808.11,669.22,598.94,596.9
18/02/2019,29.62,134.97,100.69,42.42,3.46,18.22,15.29,23.04,84.98,54.09,24.62,2.79,47.47,42.92,20.32,52.14,8.41,8.12,80.92,81.23,82.22,94.52,94.52,96.43,121.56,122.2,125,128.24,128.23,159.24,162.9,299.07,301.5,350.47,371.15,476.95,488.63,490.79,494.88,515.32,561.95,658.2,669.54,674.6,689.44,765.23,823.12,831.89,923.52,936.46,987.6,1044.31,1048.5,1054.22,1112.49,1122.44,1133.17,8.48,8.99,67.87,788.45,654.75,584.86,583.17
