150
591.82	97.12	36	1
601.73	97.56	36	1
616.63	96.87	36	1
632.87	97.22	36	1
640.66	96.85	36	1
641.66	96.78	36	1
642.66	96.75	36	1
643.66	96.63	36	1
644.66	96.6	36	1
645.66	96.57	36	1
646.66	96.45	36	1
647.66	96.41	36	1
648.66	96.39	36	1
649.66	96.27	36	1
650.66	96.23	36	1
651.66	96.11	36	1
652.66	96.1	36	1
653.66	96.18	36	1
654.66	96.16	36	1
655.66	96.14	36	1
656.66	96.12	36	1
657.66	96.13	36	1
658.66	96.03	36	1
659.66	95.92	36	1
660.66	95.86	36	1
661.66	95.72	36	1
662.66	95.67	36	1
663.66	95.57	36	1
664.66	95.43	36	1
665.66	95.33	36	1
666.66	95.26	36	1
667.66	95.19	36	1
668.66	95.06	36	1
669.66	94.97	36	1
670.66	94.83	36	1
671.66	94.86	36	1
672.66	94.96	36	1
673.66	94.87	36	1
674.66	94.94	36	1
675.66	95.01	36	1
676.66	95.12	36	1
677.66	95.24	36	1
678.66	95.37	36	1
679.66	95.46	36	1
680.66	95.57	36	1
681.66	95.61	36	1
682.66	95.76	36	1
683.66	95.86	36	1
684.66	95.77	36	1
685.66	95.67	36	1
686.66	95.89	36	1
687.66	95.78	36	1
688.66	95.83	36	1
689.66	95.69	36	1
690.66	95.72	36	1
691.66	95.52	36	1
692.66	95.67	36	1
693.66	95.77	36	1
694.66	95.66	36	1
695.66	95.6	36	1
696.66	95.76	36	1
697.66	95.67	36	1
698.66	95.8	36	1
699.66	95.64	36	1
700.66	95.56	36	1
701.66	95.69	36	1
702.66	95.75	36	1
703.66	95.62	36	1
704.66	95.7	36	1
705.66	95.52	36	1
706.66	95.71	36	1
707.66	95.64	36	1
708.66	95.72	36	1
709.66	95.64	36	1
710.66	95.54	36	1
711.66	95.64	36	1
712.66	95.72	36	1
713.66	95.83	36	1
714.66	95.97	36	1
715.66	96.01	36	1
716.66	96.06	36	1
717.66	96.13	36	1
718.66	96.2	36	1
719.66	96.27	36	1
720.66	96.34	36	1
721.66	96.42	36	1
722.66	96.49	36	1
723.66	96.56	36	1
724.66	96.63	36	1
725.66	96.7	36	1
726.66	96.78	36	1
727.66	96.85	36	1
727.75	96.85	36	1
741.05	97.18	36	1
755.65	97.26	36	1
772.1	96.93	36	1
775.72	96.84	36	1
786.47	97.25	36	1
797.18	96.71	36	1
801.64	96.77	36	1
811.7	96.97	36	1
824.2	97.54	36	1
853.83	97.73	36	1
855.3	97.38	36	1
858.31	97.2	36	1
866.14	97.5	36	1
879.21	97.87	36	1
887.74	97.78	36	1
920.46	97.78	36	1
942.58	97.07	36	1
968.14	97.05	36	1
975.79	98.29	36	1
985.87	98.22	36	1
1006.0	98.33	36	1
1038.42	98.32	36	1
1040.88	96.28	36	1
