yyyy/mm/dd,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
26/01/2006,119.8690548,119.8690548,119.8690548,121.0945994,121.562863,122.6316412,125.2423972,125.6141374,125.7710331,143.4939092,143.4939092,153.7331253,153.7331253,160.4741964,160.4741964,164.5273702,164.5273702,164.5273702,164.9118546,173.6459809,173.6459809,184.319196,184.319196,184.9745618,186.0035803,187.0083855,187.0083855,188.5965584,189.0501857,196.8497683,299.0392303,299.0392303,301.3698763,303.2324295,304.9071381,305.6213063,305.6213063,745.6221289,745.6221289,754.9738612,756.9461513,757.2559281,758.140686,774.916837,779.1545189,893.7142392,916.440451,917.914676,918.4826747,918.6936661,924.1482113,924.1643178,924.6441799,924.7318522,924.7318522,926.2180014,926.2180014,955.2205898,955.2205898,955.2532023,958.7157621,966.0209942,972.6477716,984.7108164,1042.702656,1055.339443,1055.339443,12.99861899,100.5717503,13.19019134,29.09453404,58.1799635
27/01/2006,119.4584735,119.4584735,119.4584735,120.655559,121.10936,122.2078849,124.7911461,125.1625839,125.3417536,142.4716962,142.4716962,152.3782832,152.3782832,158.938777,158.938777,162.9486363,162.9486363,162.9486363,163.3178379,171.9266233,171.9266233,182.4982248,182.4982248,183.2024848,184.1816427,185.2945071,185.2945071,186.9332483,187.3861914,195.0510595,293.9019317,293.9019317,296.4120444,298.3068519,300.2275027,301.1127833,301.1127833,740.2409456,740.2409456,750.0562875,752.2150083,752.6367744,753.6361189,770.4569246,775.0519509,888.6700976,911.551736,913.2797408,914.0614975,914.4170627,919.8692138,920.1755815,920.9145667,921.1918445,921.1918445,922.7767569,922.7767569,952.2509539,952.2509539,952.4683157,956.4562445,963.9676105,971.6588891,985.3172512,1044.469157,1057.633338,1057.633338,12.6139429,96.99868214,12.99936659,29.18070797,58.81046781
28/01/2006,119.0620985,119.0620985,119.0620985,120.2670105,120.7132919,121.805558,124.5096914,124.888464,125.0858646,141.9018009,141.9018009,151.4027162,151.4027162,157.6922115,157.6922115,161.4615069,161.4615069,161.4615069,161.8133647,170.2675187,170.2675187,180.601265,180.601265,181.2998138,182.2254335,183.3848743,183.3848743,185.0400031,185.4881415,193.0120603,288.2501303,288.2501303,290.8427556,292.742178,294.8004949,295.7889485,295.7889485,729.6930473,729.6930473,739.8938883,742.2126277,742.7324971,743.8298593,760.6463352,765.5525263,878.2626856,901.4418865,903.4133577,904.2548126,904.6855218,910.1644914,910.673095,911.5685685,911.9473291,911.9473291,913.6349059,913.6349059,944.2156307,944.2156307,945.0629397,950.7353211,960.0734104,969.1457532,988.9008136,1052.267325,1069.26425,1069.26425,12.44657034,93.27818645,13.05739677,30.04683568,62.20779212
29/01/2006,118.8347554,118.8347554,118.8347554,120.0631906,120.4958619,121.5346787,124.5009186,124.9162258,125.1080155,142.0319089,142.0319089,151.1340175,151.1340175,157.1633856,157.1633856,160.555658,160.555658,160.555658,160.8842913,169.1409586,169.1409586,179.0181991,179.0181991,179.6601665,180.5314069,181.6274426,181.6274426,183.2432642,183.680733,191.0601597,282.6857479,282.6857479,285.2558424,287.1306368,289.2326819,290.2730729,290.2730729,715.6147186,715.6147186,726.1450446,728.6732683,729.2854649,730.4602434,747.4382157,752.6497093,864.9948294,888.835763,891.0175577,892.0571254,892.6248202,898.2879761,899.0224442,900.0471483,900.5381366,900.5381366,902.3923138,902.3923138,935.5638047,935.5638047,936.0944931,941.6825665,951.5031405,962.1660353,983.611479,1052.928206,1077.112073,1077.112073,12.69376651,89.69668416,13.34997348,32.56636536,68.55956734
30/01/2006,118.6396465,118.6396465,118.6396465,119.8798098,120.2944166,121.2941677,124.3449582,124.7359969,124.9171429,142.084333,142.084333,151.0054131,151.0054131,156.917615,156.917615,160.0190345,160.0190345,160.0190345,160.3277019,168.4762998,168.4762998,177.7891313,177.7891313,178.353244,179.1696762,180.1586537,180.1586537,181.7036946,182.1238994,189.3364898,277.5560195,277.5560195,280.0328951,281.8632507,283.8882088,284.8907755,284.8907755,698.6534974,698.6534974,709.3237824,711.9272766,712.6083343,713.8482967,730.8774072,736.3524687,848.6561748,873.3801024,875.7477484,876.906407,877.5887122,883.5218678,884.4723377,885.5875067,886.2020777,886.2020777,888.2063026,888.2063026,925.8220329,925.8220329,926.2825686,932.117413,942.7410059,953.8771404,976.469965,1048.585921,1087.031139,1087.031139,12.96522439,86.41205511,13.77859609,37.06373404,71.83555973
31/01/2006,118.5393728,118.5393728,118.5393728,119.7614546,120.1557202,121.1087605,124.1765181,124.5439839,124.7024276,141.9918253,141.9918253,150.7869579,150.7869579,156.676643,156.676643,159.6215189,159.6215189,159.6215189,159.9143172,168.0313449,168.0313449,176.8869073,176.8869073,177.3768875,178.1401945,179.0078034,179.0078034,180.4732574,180.8750174,187.9141311,273.0207011,273.0207011,275.3656894,277.1389832,279.0480465,279.9881419,279.9881419,680.4606973,680.4606973,691.153005,693.7321065,694.4524918,695.7334042,712.7836416,718.4663973,831.113263,856.7408888,859.2240375,860.4462626,861.2377323,867.5437044,868.7787815,870.015502,870.7265372,870.7265372,872.9220432,872.9220432,916.8247443,916.8247443,917.2649372,923.62052,936.0492213,948.0649117,972.561002,1046.494886,1103.704039,1103.704039,13.12117994,83.46207422,14.26626089,43.29831603,73.80212724
01/02/2006,118.5082743,118.5082743,118.5082743,119.6943891,120.0699818,120.9723563,123.9902394,124.3344845,124.4760612,141.729918,141.729918,150.4106757,150.4106757,156.2834415,156.2834415,159.166495,159.166495,159.166495,159.447827,167.5761948,167.5761948,176.1092403,176.1092403,176.5554653,177.2720498,178.0522588,178.0522588,179.4527169,179.8381053,186.7041675,268.9982254,268.9982254,271.2139503,272.9285066,274.7166044,275.5885787,275.5885787,661.7102243,661.7102243,672.3450497,674.9279757,675.6414359,676.9215951,693.7474207,699.5261073,812.6461413,839.0392483,841.6115432,842.8905041,843.8247718,850.5851579,851.7244335,852.9099624,853.6854286,853.6854286,855.9496696,855.9496696,905.7837014,905.7837014,906.2543686,913.2703155,928.0100428,939.7037023,966.2851716,1041.692513,1113.665143,1113.665143,13.14207358,80.79527243,14.63371554,49.3618532,75.12086778
02/02/2006,118.5268275,118.5268275,118.5268275,119.6755226,120.0361996,120.8898133,123.8522617,124.1789423,124.3084105,141.3975625,141.3975625,149.9255306,149.9255306,155.7391146,155.7391146,158.5916473,158.5916473,158.5916473,158.8642508,167.0094282,167.0094282,175.3394153,175.3394153,175.7630915,176.4381274,177.1733796,177.1733796,178.5296796,178.901005,185.6011857,265.3331084,265.3331084,267.4432501,269.1050868,270.7921726,271.6070184,271.6070184,642.9531299,642.9531299,653.4735705,656.013139,656.7150877,657.9873935,674.4254041,680.2031689,793.5971794,820.2462191,822.7079837,823.8345355,824.7036571,831.6858821,832.8028252,834.0410203,834.7546299,834.7546299,837.1034887,837.1034887,891.811021,891.811021,892.3227694,900.0779912,917.0935356,929.0070396,957.0804654,1033.712015,1112.15824,1112.15824,13.06506464,78.33774969,14.78868496,54.11940376,76.14954146
03/02/2006,118.5508118,118.5508118,118.5508118,119.6689403,120.0149294,120.8322643,123.737832,124.0517079,124.1740379,140.9885671,140.9885671,149.3465571,149.3465571,155.0641228,155.0641228,157.8908309,157.8908309,157.8908309,158.1562529,166.3029557,166.3029557,174.4955838,174.4955838,174.9119951,175.549248,176.2741044,176.2741044,177.605144,177.9658811,184.5102,261.8625618,261.8625618,263.8968173,265.5135434,267.1293159,267.9052211,267.9052211,624.5096698,624.5096698,634.8779002,637.3759681,638.0642441,639.3241104,655.4332021,661.2080085,775.1327898,802.0024028,804.4206708,805.5138087,806.3596747,813.458859,814.3781883,815.5304515,816.2241205,816.2241205,818.5750946,818.5750946,875.9434965,875.9434965,876.4782857,884.8296467,903.6491482,915.7476409,944.6014803,1022.385222,1100.384611,1100.384611,12.90537515,76.02060133,14.86392521,56.73338967,77.10330348
04/02/2006,118.5571423,118.5571423,118.5571423,119.6497189,119.9825739,120.7743749,123.6251186,123.9295652,124.049325,140.51472,140.51472,148.6938454,148.6938454,154.2882437,154.2882437,157.0849462,157.0849462,157.0849462,157.3441634,165.4654432,165.4654432,173.5478762,173.5478762,173.9660233,174.5690369,175.3019483,175.3019483,176.6187002,176.9707237,183.3663677,258.4640286,258.4640286,260.446956,262.0260105,263.5971021,264.3512309,264.3512309,606.5393626,606.5393626,616.73223,619.184414,619.8551894,621.0982751,636.8645736,642.6289992,757.0341432,784.0220246,786.4109461,787.4912009,788.3222697,795.4668462,796.3032742,797.4375136,798.1134131,798.1134131,800.4561355,800.4561355,858.5238969,858.5238969,859.0741251,867.8370375,887.8171434,900.0368091,929.0200863,1007.97317,1081.664981,1081.664981,12.69238692,73.79710429,14.87950947,57.37015761,78.09366259
