"yyyy/mm/dd","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67"
2005-08-13,251.481383697971,251.481383697971,251.481383697971,252.789978004031,252.909764711107,256.698561299374,260.085899190607,261.022267208191,262.526900531995,276.203346615009,276.203346615009,281.990013198306,281.990013198306,286.003861600696,286.003861600696,290.348623290845,290.348623290845,290.348623290845,290.554819567831,297.281767038358,297.281767038358,305.873933593515,305.873933593515,307.118623334778,307.314337298163,309.165825994102,309.165825994102,310.350686833319,310.589715833426,313.503677874297,325.227914810427,325.227914810427,326.925635775403,327.456381838659,329.392729904484,330.503758733799,330.503758733799,422.890306359577,422.890306359577,427.72021242595,429.235510642901,429.574411919891,430.380821578444,437.668293399421,440.412054326347,511.008837661709,519.388964198121,520.327729137071,520.768243363716,521.207419659424,521.487374926928,521.932796199616,522.438154677697,522.841885570181,522.841885570181,523.313227998209,523.313227998209,531.809113761444,531.809113761444,532.079521875534,533.060415576122,535.165781103426,536.722218051484,538.745312717815,634.61626278475,638.30317417561,638.30317417561
2005-08-14,245.735772993653,245.735772993653,245.735772993653,246.958256443316,247.056758663814,250.279010181334,253.437536665952,254.206674701458,255.448805463035,268.748647639483,268.748647639483,274.125018990452,274.125018990452,277.930968098363,277.930968098363,281.969434518502,281.969434518502,281.969434518502,282.217346110656,289.066946468803,289.066946468803,297.333158761076,297.333158761076,298.540794135205,298.750353325421,300.956471587213,300.956471587213,302.440164767958,302.675046698809,305.653652167466,317.634964388051,317.634964388051,319.031346901179,319.497505184347,321.391758048726,322.523517675284,322.523517675284,414.306183142217,414.306183142217,419.543279621502,421.055859473621,421.340438711749,422.092564382378,429.079446819305,431.632487562919,500.627614012026,508.687264693435,509.523013034849,509.909284424997,510.302081469355,510.570456486391,510.958632831723,511.410976120151,511.766627915087,511.766627915087,512.238720506343,512.238720506343,520.693159884033,520.693159884033,520.932872461184,521.814633381267,523.907075777773,525.357138955763,527.289904435821,623.624987126016,627.305032999451,627.305032999451
2005-08-15,239.094368482065,239.094368482065,239.094368482065,240.184509424742,240.288599595206,243.30610499851,246.439733496011,247.210615389103,248.430246843277,261.436299530361,261.436299530361,266.676916091032,266.676916091032,270.234292210216,270.234292210216,274.043118193895,274.043118193895,274.043118193895,274.251194284641,280.838723398239,280.838723398239,288.967509754732,288.967509754732,290.157233044951,290.357774020888,292.589443981261,292.589443981261,294.040194296439,294.279436136002,297.239015203324,309.048371298582,309.048371298582,310.553976121243,311.028223670544,312.828396515366,313.889494224125,313.889494224125,403.254338800486,403.254338800486,408.331319522272,409.967540372208,410.325583753572,411.143221995159,418.1836144208,420.887536895047,488.661666096853,496.676429966387,497.583827506689,497.999446245153,498.407783747858,498.672083345262,499.088967481261,499.563315253566,499.939456857685,499.939456857685,500.400702620345,500.400702620345,508.910872785227,508.910872785227,509.161916686992,510.066925505195,512.151669306539,513.627968660751,515.568910390073,611.6650112356,615.408838845289,615.408838845289
2005-08-16,233.590284721697,233.590284721697,233.590284721697,234.537157517693,234.629140309737,237.280105194033,240.273917631603,240.980303703848,242.105268663638,254.727391912103,254.727391912103,259.786513318147,259.786513318147,263.14865911653,263.14865911653,266.73462544755,266.73462544755,266.73462544755,266.924266139062,273.246266421276,273.246266421276,281.028896249601,281.028896249601,282.173052237081,282.355237988367,283.751272847224,283.751272847224,285.267971628951,285.515754680152,288.473189375062,300.079477095313,300.079477095313,301.67245788261,302.166406182551,303.83179754732,304.92515116521,304.92515116521,392.12128649556,392.12128649556,396.856116723793,398.382272147567,398.756987605236,399.587325197911,406.552981395418,409.302233560928,475.254463207717,483.090704074113,484.075029960121,484.534761286697,484.972947264139,485.245454826967,485.717975471519,486.240280340043,486.662799892827,486.662799892827,487.126358908626,487.126358908626,495.709890824032,495.709890824032,495.991410322544,496.972869966648,499.052940651021,500.596970544626,502.601277066758,599.260180834823,603.067204616116,603.067204616116
2005-08-17,228.966413793168,228.966413793168,228.966413793168,229.796295820963,229.87938016078,232.169703587642,235.012079279348,235.642699610116,236.644564693517,248.791176134906,248.791176134906,253.599531218819,253.599531218819,256.744054049086,256.744054049086,260.084496423969,260.084496423969,260.084496423969,260.26244599264,266.319691795373,266.319691795373,273.68173673064,273.68173673064,274.756819539877,274.929353938341,276.822460227877,276.822460227877,278.102723973611,278.316751910101,281.14098223487,292.173591402436,292.173591402436,293.632797502894,294.090856395073,295.814326767554,296.825231302004,296.825231302004,382.665895487493,382.665895487493,387.285732690876,388.753822126647,389.080162673443,389.857695251183,396.5573300674,399.152090192994,464.297658475284,471.86684993427,472.739757052047,473.149923122758,473.542149680605,473.803531171988,474.215773336194,474.68483460788,475.060867922482,475.060867922482,475.528972665738,475.528972665738,484.005009719565,484.005009719565,484.259714217231,485.168802584586,487.242009256316,488.707054003977,490.627688130639,587.487391098705,591.344172604015,591.344172604015
2005-08-18,225.768451685971,225.768451685971,225.768451685971,226.424671102144,226.49356766874,228.281789224718,230.937279696795,231.466529731115,232.303398341506,243.877311797837,243.877311797837,248.348400062695,248.348400062695,251.216476678069,251.216476678069,254.243623839617,254.243623839617,254.243623839617,254.410706294799,260.181307245143,260.181307245143,267.037210104296,267.037210104296,268.024331964103,268.185002075943,269.530269802052,269.530269802052,270.667593420913,270.886981178343,273.678174236938,283.520589941485,283.520589941485,285.087572301244,285.568723953963,287.389516145138,288.439417705642,288.439417705642,372.722300913197,372.722300913197,377.383696729308,378.86647845929,379.199885185595,379.977653898282,386.572722776696,389.123466404096,453.313293890961,460.575698319525,461.406353397899,461.81208957534,462.20063636914,462.452505889815,462.863276803103,463.327817277106,463.699688055085,463.699688055085,464.177500056573,464.177500056573,472.586891923246,472.586891923246,472.837394015606,473.747850946567,475.816172705236,477.249667435583,479.130734639336,576.588428102232,580.478216363278,580.478216363278
2005-08-19,225.575212825546,225.575212825546,225.575212825546,225.878524407246,225.918930279433,226.722334756957,229.066619684756,229.404310126389,229.941781074657,240.71290429658,240.71290429658,244.660719586851,244.660719586851,247.131947830022,247.131947830022,249.6641974808,249.6641974808,249.6641974808,249.831972553622,255.328577276081,255.328577276081,261.407161710194,261.407161710194,262.261968606564,262.405148534039,263.960329221631,263.960329221631,265.022683666416,265.203161613949,267.653381491603,277.189256675037,277.189256675037,278.425495084209,278.821507997583,280.37175721179,281.295482135485,281.295482135485,363.826611179113,363.826611179113,368.1093970401,369.539003052933,369.859418199612,370.618230343675,377.06997152145,379.550467069921,442.024903300905,449.068950088107,449.91528425624,450.326872226852,450.717251774027,450.969338647482,451.388303022238,451.858336280524,452.236484992352,452.236484992352,452.698343226613,452.698343226613,461.04287810502,461.04287810502,461.297986184188,462.222634801309,464.286875078023,465.721385212614,467.599706407009,565.12115890092,569.053729682728,569.053729682728
2005-08-20,229.89986959795,229.89986959795,229.89986959795,229.928035882536,229.941804913615,229.355331067225,231.576591256194,231.737997516056,231.820037735317,241.436862981454,241.436862981454,244.360381688032,244.360381688032,246.044428119253,246.044428119253,247.604940029239,247.604940029239,247.604940029239,247.764261288933,252.967643058636,252.967643058636,257.738393687847,257.738393687847,258.339343405437,258.460068377768,259.742072588147,259.742072588147,260.82437454085,260.993036832079,263.643529653221,272.969952432473,272.969952432473,273.859217505347,274.177647464347,275.529129813365,276.343584360561,276.343584360561,358.287085293902,358.287085293902,363.30235848772,364.747395014176,364.949490877754,365.594483518468,371.79669351921,373.890825846068,436.01110251788,442.584740601789,443.201441971395,443.483912729514,443.771524218828,443.989251453797,444.256418252276,444.591605471831,444.846671639084,444.846671639084,445.30150447234,445.30150447234,453.379653566339,453.379653566339,453.556961253302,454.248471661193,456.30306914336,457.512169260057,459.186241227708,556.413318906134,560.296082111579,560.296082111579
2005-08-21,242.694073414793,242.694073414793,242.694073414793,242.265894947604,242.223675569831,239.299444217932,241.195604420898,240.922707477615,240.160097759158,249.442016289082,249.442016289082,250.800731383284,250.800731383284,251.258912289957,251.258912289957,250.829640476519,250.829640476519,250.829640476519,251.106348663251,256.677169284994,256.677169284994,258.604681646719,258.604681646719,258.62525954486,258.74539175815,259.303839571281,259.303839571281,260.334682595856,260.473637311073,263.764405906693,272.781789619678,272.781789619678,273.135599364159,273.453431188486,274.742212801459,275.549362997922,275.549362997922,360.074621137674,360.074621137674,366.93788037738,368.786511982688,368.845546651414,369.349124342356,376.812508962288,378.287006617691,459.463893198865,465.175960488448,464.470909486812,464.247287001926,464.093989838899,464.183966338191,463.541274957727,463.04779882643,462.56300256939,462.56300256939,462.977953603787,462.977953603787,469.808324729765,469.808324729765,469.490047974804,468.765506691519,470.781365409457,470.570609475992,470.93771566159,567.304515288073,570.679968478559,570.679968478559
2005-08-22,262.945396361064,262.945396361064,262.945396361064,261.387278822985,261.265560757566,255.284328636731,256.076130794012,255.079698043995,253.331964697904,262.386096216832,262.386096216832,262.55538749615,262.55538749615,261.545721071534,261.545721071534,259.12968244103,259.12968244103,259.12968244103,259.281330313694,264.15266073887,264.15266073887,263.471147540675,263.471147540675,262.882819348506,262.883236774617,262.168294496042,262.168294496042,262.294271624635,262.346210829014,265.571016248107,273.976488458093,273.976488458093,273.86390036616,273.917558446428,274.190590181547,274.475312521856,274.475312521856,354.076220258464,354.076220258464,360.154483318244,361.900536952243,362.1598851296,362.914543178543,370.354213381213,372.513155082786,472.775522954363,478.897022302234,478.379138984907,478.086808733282,477.946549483775,478.048280812739,477.569581121399,477.215682826625,476.810221623796,476.810221623796,477.230070585636,477.230070585636,484.102988691273,484.102988691273,483.821891570225,483.139661244796,485.150014169054,484.879277210214,485.108802946565,581.058084346099,584.349655494021,584.349655494021
2005-08-23,288.861050931932,288.861050931932,288.861050931932,286.432609475607,286.257907776409,277.561563102161,277.489208887978,275.916732216542,273.223479486053,281.370116251058,281.370116251058,280.021310438367,280.021310438367,277.242760266776,277.242760266776,272.665025926441,272.665025926441,272.665025926441,272.66168939624,276.217452219544,276.217452219544,272.409353340342,272.409353340342,271.218105677882,271.100753717204,269.183482825128,269.183482825128,268.479675067488,268.424563534989,271.339871053411,278.913882728475,278.913882728475,278.136838616229,278.007031222808,277.485340872902,277.336496444092,277.336496444092,353.957592778793,353.957592778793,358.544952836428,360.004511918042,360.133617175091,360.766991913417,367.818793883639,369.667234743644,478.178457779151,485.240712046687,485.099034016304,484.997631924591,484.998825534052,485.130222959188,484.888610344897,484.746420659732,484.540412680055,484.540412680055,484.974412301252,484.974412301252,492.118528799244,492.118528799244,491.966563523514,491.642180269904,493.653169116215,493.736334804895,494.279140896443,590.542522676302,593.941770724094,593.941770724094
2005-08-24,317.996262996548,317.996262996548,317.996262996548,315.210987546995,315.009314383559,304.749194086692,304.068710865966,302.109536910808,298.725538446244,305.75847269449,305.75847269449,303.060202643083,303.060202643083,298.741860192739,298.741860192739,292.070048832623,292.070048832623,292.070048832623,291.971086471049,294.152900908342,294.152900908342,286.658585974223,286.658585974223,284.745589321847,284.534070285597,281.264678445732,281.264678445732,279.798690669618,279.628674269873,282.142745544941,288.70477327679,288.70477327679,287.077280040836,286.719408301817,285.281237614817,284.648179826974,284.648179826974,358.925760463006,358.925760463006,362.545398963839,363.657449736421,363.631640116242,364.108749180427,370.65336871679,371.994180782928,480.725653181141,488.532242877394,488.567452965894,488.556833664709,488.62483301126,488.774288974141,488.656417176532,488.62827320043,488.534794546173,488.534794546173,488.960506461889,488.960506461889,496.283399220719,496.283399220719,496.211496806515,496.128334625131,498.136254520217,498.47315140782,499.262327614325,595.480068691935,598.992602664253,598.992602664253
2005-08-25,347.359591832673,347.359591832673,347.359591832673,344.646940370988,344.451456021854,333.900053204383,333.165171574353,331.118401994498,327.476593070684,334.030143499191,334.030143499191,330.486081503109,330.486081503109,325.182233900101,325.182233900101,316.927568951692,316.927568951692,316.927568951692,316.764588481247,317.741980531486,317.741980531486,306.900312968038,306.900312968038,304.213075545144,303.957889761125,299.269815466272,299.269815466272,297.000628234546,296.707261724199,298.769556030521,304.434009538808,304.434009538808,301.854780306084,301.318038370695,298.972681040173,297.818198692717,297.818198692717,371.458987583832,371.458987583832,374.131741818848,374.826960617007,374.595216527681,374.865436155764,380.731110797156,381.39283564358,487.563263502803,495.479025698796,495.329351358525,495.233751665203,495.231501538756,495.355149673883,495.144197481076,495.036134330369,494.873123323837,494.873123323837,495.295823073446,495.295823073446,502.540691581281,502.540691581281,502.429070104736,502.249174130401,504.244881148968,504.487119984525,505.199137134813,601.394332017611,604.870616243668,604.870616243668
2005-08-26,372.674546449186,372.674546449186,372.674546449186,370.365543040056,370.201215132507,360.780304197111,360.187126778265,358.298936832728,354.903479360792,361.328799255325,361.328799255325,357.898007241926,357.898007241926,352.458229611993,352.458229611993,343.706197559715,343.706197559715,343.706197559715,343.525377078662,343.834184961622,343.834184961622,330.858753485409,330.858753485409,327.691069895521,327.318111135971,321.5540520241,321.5540520241,318.67990928878,318.296129708778,319.945270696944,324.888555164097,324.888555164097,321.445259952921,320.60603080761,317.171663333194,315.475826742873,315.475826742873,387.019994320536,387.019994320536,388.945344153487,389.431138687137,389.105673709285,389.27493642768,394.741807867421,395.00230503913,498.710764028012,506.601609807348,506.219219217884,506.013658699124,505.920398170366,506.017445688018,505.669995573414,505.437855830426,505.159103304468,505.159103304468,505.582489604503,505.582489604503,512.688395154848,512.688395154848,512.499897785419,512.106938833506,514.086578864868,514.093356776509,514.581406864571,610.275333244411,613.661976960645,613.661976960645
2005-08-27,393.25020182257,393.25020182257,393.25020182257,391.596463574446,391.481653963873,383.870909381106,383.816388070567,382.314609168856,379.476457314309,387.055301195009,387.055301195009,384.274259340331,384.274259340331,379.483132435108,379.483132435108,371.023814017322,371.023814017322,371.023814017322,370.94508757042,371.774653805633,371.774653805633,357.775302593874,357.775302593874,354.295398814927,353.884555398828,347.431947665445,347.431947665445,344.264833338625,343.825724633156,345.3385303934,350.000407234885,350.000407234885,345.832599035162,344.789425612712,340.511364939234,338.378214821083,338.378214821083,408.686003043968,408.686003043968,410.293044801226,410.617008941834,410.203205915077,410.250245996479,416.503369161633,416.342035472997,519.348521713316,527.122905028753,526.287238836651,525.850076152563,525.566275777656,525.610161595488,524.965652819274,524.46653919935,523.93831897302,523.93831897302,524.360549983517,524.360549983517,531.195570501911,531.195570501911,530.918409359429,530.145430081652,532.247067168677,531.895247834958,532.757484361089,629.651496613029,633.247396205454,633.247396205454
2005-08-28,404.533426469187,404.533426469187,404.533426469187,403.654692547571,403.604736053418,398.731961615805,399.27415391178,398.296415803847,396.378130064292,405.235217428912,405.235217428912,404.173222413261,404.173222413261,400.680632684324,400.680632684324,393.850871655896,393.850871655896,393.850871655896,393.75450462723,395.112063013615,395.112063013615,382.999131661955,382.999131661955,379.759589358733,379.373426141423,373.110318051858,373.110318051858,369.892871420006,369.454591077028,370.834702920197,376.168709314558,376.168709314558,371.8436122784,370.749776622849,366.122538896272,363.751370774776,363.751370774776,433.002301680621,433.002301680621,433.785557310969,433.849039909722,433.315285904841,433.275023750181,438.445332215941,438.075008860644,539.579646214332,547.181294296766,546.330829730073,545.88867024119,545.598807758349,545.641537921476,544.987317795717,544.470295870381,543.919394371276,543.919394371276,544.351375036029,544.351375036029,551.205657393932,551.205657393932,550.831078243936,549.977855809579,552.030889792194,551.468114992116,551.743001501668,648.007081042537,651.340318191758,651.340318191758
2005-08-29,407.691148392275,407.691148392275,407.691148392275,407.588404391066,407.600465403005,405.502083231353,406.752677827182,406.344764290646,405.413315713942,415.601934833635,415.601934833635,416.397590325874,416.397590325874,414.646535267321,414.646535267321,410.118795198785,410.118795198785,410.118795198785,410.067436482914,412.389834158723,412.389834158723,403.580074921303,403.580074921303,400.951232471037,400.642325924091,395.355730481188,395.355730481188,392.614933626315,392.242812134548,393.712344207915,400.603508110329,400.603508110329,396.6029136211,395.586362737555,391.184827076123,388.902285523277,388.902285523277,458.126311762896,458.126311762896,458.703245605771,458.67267718946,458.107430859014,458.029170978731,462.851636190676,462.293370539001,562.522272889114,569.81712435888,568.8510079822,568.353393370772,568.019429421452,568.042128342857,567.322241468039,566.745444009775,566.139528657564,566.139528657564,566.554408038897,566.554408038897,573.454965612252,573.454965612252,573.041630148943,572.06314177396,574.067309181421,573.368531269553,573.488603974483,669.387453461318,672.616380004768,672.616380004768
